"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 03 03:56:51 GMT 2025","Mon Nov 03 03:57:00 GMT 2025","9498","chromium","tests/mobile.spec.ts","Mobile Responsiveness","","","should display mobile-friendly navigation",""
"failed","Mon Nov 03 03:57:54 GMT 2025","Mon Nov 03 03:58:06 GMT 2025","11702","mobile-chrome","tests/schedule.spec.ts","Schedule Management","","","should navigate to view from home",""
"failed","Mon Nov 03 03:57:33 GMT 2025","Mon Nov 03 03:57:33 GMT 2025","309","mobile-chrome","tests/betting.spec.ts","Betting System","","","should navigate to my bets page",""
"failed","Mon Nov 03 03:57:18 GMT 2025","Mon Nov 03 03:57:29 GMT 2025","11238","mobile-chrome","tests/auth.spec.ts","Authentication","","","should login with valid credentials",""
"failed","Mon Nov 03 03:58:39 GMT 2025","Mon Nov 03 03:58:40 GMT 2025","1091","mobile-safari","tests/my-bets.spec.ts","My Bets Page","","","should show empty state when no bets",""
"failed","Mon Nov 03 03:56:12 GMT 2025","Mon Nov 03 03:56:23 GMT 2025","11662","chromium","tests/auth.spec.ts","Authentication","","","should login with valid credentials",""
"failed","Mon Nov 03 03:56:12 GMT 2025","Mon Nov 03 03:56:24 GMT 2025","12048","chromium","tests/admin.spec.ts","Admin Panel","","","should prevent access without authentication",""
"failed","Mon Nov 03 03:58:50 GMT 2025","Mon Nov 03 03:58:57 GMT 2025","6752","mobile-safari","tests/navigation.spec.ts","Navigation","","","should navigate back from login to home",""
"failed","Mon Nov 03 03:56:49 GMT 2025","Mon Nov 03 03:57:01 GMT 2025","12033","chromium","tests/schedule.spec.ts","Schedule Management","","","should navigate to view from home",""
"failed","Mon Nov 03 03:56:57 GMT 2025","Mon Nov 03 03:57:03 GMT 2025","6769","chromium","tests/mobile.spec.ts","Mobile Responsiveness","","","should display betting page on mobile",""
"failed","Mon Nov 03 03:56:37 GMT 2025","Mon Nov 03 03:56:49 GMT 2025","11561","chromium","tests/navigation.spec.ts","Navigation","","","should navigate to schedule view",""
"failed","Mon Nov 03 03:58:58 GMT 2025","Mon Nov 03 03:59:05 GMT 2025","6749","mobile-safari","tests/mobile.spec.ts","Mobile Responsiveness","","","should display mobile-friendly navigation",""
"failed","Mon Nov 03 03:56:49 GMT 2025","Mon Nov 03 03:56:56 GMT 2025","7031","chromium","tests/schedule.spec.ts","Schedule Management","","","should display schedule view",""
"failed","Mon Nov 03 03:59:00 GMT 2025","Mon Nov 03 03:59:07 GMT 2025","6676","mobile-safari","tests/mobile.spec.ts","Mobile Responsiveness","","","should support mobile viewport (320px minimum)",""
"failed","Mon Nov 03 03:58:06 GMT 2025","Mon Nov 03 03:58:18 GMT 2025","11413","mobile-safari","tests/admin.spec.ts","Admin Panel","","","should navigate to matches management",""
"failed","Mon Nov 03 03:57:08 GMT 2025","Mon Nov 03 03:57:20 GMT 2025","11606","mobile-chrome","tests/admin.spec.ts","Admin Panel","","","should display dashboard statistics",""
"failed","Mon Nov 03 03:56:26 GMT 2025","Mon Nov 03 03:56:38 GMT 2025","11494","chromium","tests/auth.spec.ts","Authentication","","","should register LAPEN member with approval pending",""
"failed","Mon Nov 03 03:58:41 GMT 2025","Mon Nov 03 03:58:53 GMT 2025","11992","mobile-safari","tests/navigation.spec.ts","Navigation","","","should navigate to betting page",""
"failed","Mon Nov 03 03:57:38 GMT 2025","Mon Nov 03 03:57:43 GMT 2025","5765","mobile-chrome","tests/navigation.spec.ts","Navigation","","","should navigate to home page",""
"failed","Mon Nov 03 03:57:20 GMT 2025","Mon Nov 03 03:57:32 GMT 2025","11432","mobile-chrome","tests/auth.spec.ts","Authentication","","","should logout successfully",""
"failed","Mon Nov 03 03:55:57 GMT 2025","Mon Nov 03 03:56:09 GMT 2025","12587","chromium","tests/admin.spec.ts","Admin Panel","","","should navigate to LAPEN approvals",""
"failed","Mon Nov 03 03:58:43 GMT 2025","Mon Nov 03 03:58:55 GMT 2025","12524","mobile-safari","tests/navigation.spec.ts","Navigation","","","should navigate to schedule view",""
"failed","Mon Nov 03 03:58:20 GMT 2025","Mon Nov 03 03:58:31 GMT 2025","11573","mobile-safari","tests/auth.spec.ts","Authentication","","","should show error for invalid credentials",""
"failed","Mon Nov 03 03:57:52 GMT 2025","Mon Nov 03 03:57:58 GMT 2025","6647","mobile-chrome","tests/schedule.spec.ts","Schedule Management","","","should display schedule view",""
"failed","Mon Nov 03 03:55:57 GMT 2025","Mon Nov 03 03:56:10 GMT 2025","12771","chromium","tests/admin.spec.ts","Admin Panel","","","should navigate to matches management",""
"failed","Mon Nov 03 03:58:20 GMT 2025","Mon Nov 03 03:58:31 GMT 2025","11565","mobile-safari","tests/auth.spec.ts","Authentication","","","should login with valid credentials",""
"failed","Mon Nov 03 03:58:15 GMT 2025","Mon Nov 03 03:58:26 GMT 2025","11154","mobile-safari","tests/admin.spec.ts","Admin Panel","","","should prevent access without authentication",""
"failed","Mon Nov 03 03:59:03 GMT 2025","Mon Nov 03 03:59:09 GMT 2025","5959","mobile-safari","tests/mobile.spec.ts","Mobile Responsiveness","","","should display betting page on mobile",""
"failed","Mon Nov 03 03:57:40 GMT 2025","Mon Nov 03 03:57:51 GMT 2025","11578","mobile-chrome","tests/navigation.spec.ts","Navigation","","","should navigate to schedule view",""
"failed","Mon Nov 03 03:55:57 GMT 2025","Mon Nov 03 03:56:10 GMT 2025","12810","chromium","tests/admin.spec.ts","Admin Panel","","","should display dashboard statistics",""
"failed","Mon Nov 03 03:57:28 GMT 2025","Mon Nov 03 03:57:40 GMT 2025","12176","mobile-chrome","tests/auth.spec.ts","Authentication","","","should register LAPEN member with approval pending",""
"passed","Mon Nov 03 03:58:49 GMT 2025","Mon Nov 03 03:58:50 GMT 2025","776","mobile-safari","tests/navigation.spec.ts","Navigation","","","should handle 404 navigation",""
"failed","Mon Nov 03 03:56:39 GMT 2025","Mon Nov 03 03:56:50 GMT 2025","11423","chromium","tests/navigation.spec.ts","Navigation","","","should navigate to signup page",""
"failed","Mon Nov 03 03:58:19 GMT 2025","Mon Nov 03 03:58:30 GMT 2025","11179","mobile-safari","tests/auth.spec.ts","Authentication","","","should show error for duplicate email",""
"failed","Mon Nov 03 03:57:02 GMT 2025","Mon Nov 03 03:57:13 GMT 2025","11026","mobile-chrome","tests/admin.spec.ts","Admin Panel","","","should login to admin panel",""
"failed","Mon Nov 03 03:56:34 GMT 2025","Mon Nov 03 03:56:45 GMT 2025","10900","chromium","tests/navigation.spec.ts","Navigation","","","should navigate to betting page",""
"failed","Mon Nov 03 03:57:44 GMT 2025","Mon Nov 03 03:57:50 GMT 2025","5941","mobile-chrome","tests/navigation.spec.ts","Navigation","","","should handle 404 navigation",""
"failed","Mon Nov 03 03:58:27 GMT 2025","Mon Nov 03 03:58:38 GMT 2025","11625","mobile-safari","tests/auth.spec.ts","Authentication","","","should request password reset",""
"failed","Mon Nov 03 03:56:49 GMT 2025","Mon Nov 03 03:57:01 GMT 2025","12022","chromium","tests/schedule.spec.ts","Schedule Management","","","should navigate to schedule form",""
