"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 03 18:39:08 GMT 2025","Mon Nov 03 18:39:16 GMT 2025","7393","mobile-safari","tests/betting.spec.ts","Betting System","","","should display betting page",""
"failed","Mon Nov 03 18:38:37 GMT 2025","Mon Nov 03 18:38:50 GMT 2025","13220","mobile-safari","tests/admin.spec.ts","Admin Panel","","","should login to admin panel",""
"failed","Mon Nov 03 18:39:42 GMT 2025","Mon Nov 03 18:39:58 GMT 2025","15242","mobile-safari","tests/mobile.spec.ts","Mobile Responsiveness","","","should handle mobile form inputs",""
"failed","Mon Nov 03 18:37:55 GMT 2025","Mon Nov 03 18:38:07 GMT 2025","11516","mobile-chrome","tests/auth.spec.ts","Authentication","","","should login with valid credentials",""
"failed","Mon Nov 03 18:38:13 GMT 2025","Mon Nov 03 18:38:20 GMT 2025","6719","mobile-chrome","tests/my-bets.spec.ts","My Bets Page","","","should require authentication",""
"failed","Mon Nov 03 18:39:18 GMT 2025","Mon Nov 03 18:39:19 GMT 2025","1144","mobile-safari","tests/my-bets.spec.ts","My Bets Page","","","should show empty state when no bets",""
"failed","Mon Nov 03 18:39:15 GMT 2025","Mon Nov 03 18:39:16 GMT 2025","718","mobile-safari","tests/betting.spec.ts","Betting System","","","should navigate to my bets page",""
"failed","Mon Nov 03 18:37:10 GMT 2025","Mon Nov 03 18:37:22 GMT 2025","12352","chromium","tests/navigation.spec.ts","Navigation","","","should navigate to login page",""
"passed","Mon Nov 03 18:38:34 GMT 2025","Mon Nov 03 18:38:37 GMT 2025","3588","mobile-chrome","tests/mobile.spec.ts","Mobile Responsiveness","","","should support mobile viewport (320px minimum)",""
"failed","Mon Nov 03 18:39:31 GMT 2025","Mon Nov 03 18:39:39 GMT 2025","7865","mobile-safari","tests/navigation.spec.ts","Navigation","","","should handle 404 navigation",""
"failed","Mon Nov 03 18:38:17 GMT 2025","Mon Nov 03 18:38:30 GMT 2025","13045","mobile-chrome","tests/navigation.spec.ts","Navigation","","","should navigate to schedule view",""
"failed","Mon Nov 03 18:39:37 GMT 2025","Mon Nov 03 18:39:48 GMT 2025","11107","mobile-safari","tests/navigation.spec.ts","Navigation","","","should navigate back from login to home",""
