"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 03 18:58:29 GMT 2025","Mon Nov 03 18:58:38 GMT 2025","8635","mobile-safari","tests/navigation.spec.ts","Navigation","","","should handle 404 navigation",""
"failed","Mon Nov 03 18:56:56 GMT 2025","Mon Nov 03 18:57:08 GMT 2025","12187","mobile-chrome","tests/auth.spec.ts","Authentication","","","should request password reset",""
"failed","Mon Nov 03 18:57:50 GMT 2025","Mon Nov 03 18:58:03 GMT 2025","13106","mobile-safari","tests/auth.spec.ts","Authentication","","","should register new user successfully",""
"failed","Mon Nov 03 18:57:54 GMT 2025","Mon Nov 03 18:57:55 GMT 2025","627","mobile-safari","tests/auth.spec.ts","Authentication","","","should show error for duplicate email",""
"failed","Mon Nov 03 18:58:19 GMT 2025","Mon Nov 03 18:58:34 GMT 2025","14427","mobile-safari","tests/navigation.spec.ts","Navigation","","","should navigate to betting page",""
"failed","Mon Nov 03 18:57:49 GMT 2025","Mon Nov 03 18:58:02 GMT 2025","12795","mobile-safari","tests/admin.spec.ts","Admin Panel","","","should prevent access without authentication",""
"failed","Mon Nov 03 18:57:13 GMT 2025","Mon Nov 03 18:57:26 GMT 2025","13262","mobile-chrome","tests/navigation.spec.ts","Navigation","","","should navigate to signup page",""
"passed","Mon Nov 03 18:56:20 GMT 2025","Mon Nov 03 18:56:31 GMT 2025","10995","chromium","tests/mobile.spec.ts","Mobile Responsiveness","","","should support mobile viewport (320px minimum)",""
"failed","Mon Nov 03 18:58:15 GMT 2025","Mon Nov 03 18:58:17 GMT 2025","1525","mobile-safari","tests/my-bets.spec.ts","My Bets Page","","","should show empty state when no bets",""
"failed","Mon Nov 03 18:57:08 GMT 2025","Mon Nov 03 18:57:08 GMT 2025","476","mobile-chrome","tests/my-bets.spec.ts","My Bets Page","","","should show empty state when no bets",""
"failed","Mon Nov 03 18:56:49 GMT 2025","Mon Nov 03 18:57:01 GMT 2025","11873","mobile-chrome","tests/auth.spec.ts","Authentication","","","should login with valid credentials",""
