"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Nov 03 03:50:36 GMT 2025","Mon Nov 03 03:50:49 GMT 2025","13099","chromium","tests/admin.spec.ts","Admin Panel","","","should navigate to LAPEN approvals",""
"failed","Mon Nov 03 03:52:22 GMT 2025","Mon Nov 03 03:52:34 GMT 2025","11863","mobile-chrome","tests/navigation.spec.ts","Navigation","","","should navigate to schedule view",""
"failed","Mon Nov 03 03:53:39 GMT 2025","Mon Nov 03 03:53:50 GMT 2025","11470","mobile-safari","tests/schedule.spec.ts","Schedule Management","","","should navigate to view from home",""
"failed","Mon Nov 03 03:51:22 GMT 2025","Mon Nov 03 03:51:28 GMT 2025","6061","chromium","tests/navigation.spec.ts","Navigation","","","should handle 404 navigation",""
"failed","Mon Nov 03 03:51:14 GMT 2025","Mon Nov 03 03:51:20 GMT 2025","6046","chromium","tests/my-bets.spec.ts","My Bets Page","","","should require authentication",""
"failed","Mon Nov 03 03:53:32 GMT 2025","Mon Nov 03 03:53:38 GMT 2025","6446","mobile-safari","tests/navigation.spec.ts","Navigation","","","should handle 404 navigation",""
"failed","Mon Nov 03 03:52:20 GMT 2025","Mon Nov 03 03:52:26 GMT 2025","6017","mobile-chrome","tests/navigation.spec.ts","Navigation","","","should navigate to home page",""
"failed","Mon Nov 03 03:53:40 GMT 2025","Mon Nov 03 03:53:52 GMT 2025","11724","mobile-safari","tests/schedule.spec.ts","Schedule Management","","","should navigate to schedule form",""
"failed","Mon Nov 03 03:51:29 GMT 2025","Mon Nov 03 03:51:35 GMT 2025","5981","chromium","tests/schedule.spec.ts","Schedule Management","","","should display schedule view",""
"failed","Mon Nov 03 03:53:05 GMT 2025","Mon Nov 03 03:53:17 GMT 2025","11624","mobile-safari","tests/auth.spec.ts","Authentication","","","should logout successfully",""
"failed","Mon Nov 03 03:51:45 GMT 2025","Mon Nov 03 03:51:56 GMT 2025","11261","mobile-chrome","tests/admin.spec.ts","Admin Panel","","","should navigate to courts management",""
"failed","Mon Nov 03 03:51:10 GMT 2025","Mon Nov 03 03:51:11 GMT 2025","317","chromium","tests/my-bets.spec.ts","My Bets Page","","","should display my bets page when authenticated",""
"failed","Mon Nov 03 03:52:00 GMT 2025","Mon Nov 03 03:52:12 GMT 2025","11472","mobile-chrome","tests/auth.spec.ts","Authentication","","","should show error for invalid credentials",""
"failed","Mon Nov 03 03:51:22 GMT 2025","Mon Nov 03 03:51:27 GMT 2025","5782","chromium","tests/navigation.spec.ts","Navigation","","","should display header on all pages",""
"failed","Mon Nov 03 03:53:14 GMT 2025","Mon Nov 03 03:53:20 GMT 2025","6208","mobile-safari","tests/betting.spec.ts","Betting System","","","should display betting page",""
"failed","Mon Nov 03 03:51:36 GMT 2025","Mon Nov 03 03:51:45 GMT 2025","9710","chromium","tests/mobile.spec.ts","Mobile Responsiveness","","","should display betting page on mobile",""
"failed","Mon Nov 03 03:53:32 GMT 2025","Mon Nov 03 03:53:38 GMT 2025","6317","mobile-safari","tests/navigation.spec.ts","Navigation","","","should display header on all pages",""
"failed","Mon Nov 03 03:53:17 GMT 2025","Mon Nov 03 03:53:18 GMT 2025","636","mobile-safari","tests/betting.spec.ts","Betting System","","","should display betting form when authenticated",""
"failed","Mon Nov 03 03:51:44 GMT 2025","Mon Nov 03 03:51:55 GMT 2025","10881","mobile-chrome","tests/admin.spec.ts","Admin Panel","","","should login to admin panel",""
"failed","Mon Nov 03 03:52:36 GMT 2025","Mon Nov 03 03:52:47 GMT 2025","11428","mobile-chrome","tests/schedule.spec.ts","Schedule Management","","","should navigate to schedule form",""
"failed","Mon Nov 03 03:51:13 GMT 2025","Mon Nov 03 03:51:13 GMT 2025","374","chromium","tests/my-bets.spec.ts","My Bets Page","","","should navigate back to betting dashboard",""
"failed","Mon Nov 03 03:50:51 GMT 2025","Mon Nov 03 03:51:04 GMT 2025","12370","chromium","tests/auth.spec.ts","Authentication","","","should register new user successfully",""
"failed","Mon Nov 03 03:52:37 GMT 2025","Mon Nov 03 03:52:44 GMT 2025","6589","mobile-chrome","tests/mobile.spec.ts","Mobile Responsiveness","","","should display mobile-friendly navigation",""
"failed","Mon Nov 03 03:52:17 GMT 2025","Mon Nov 03 03:52:18 GMT 2025","339","mobile-chrome","tests/my-bets.spec.ts","My Bets Page","","","should show empty state when no bets",""
"failed","Mon Nov 03 03:53:18 GMT 2025","Mon Nov 03 03:53:19 GMT 2025","557","mobile-safari","tests/betting.spec.ts","Betting System","","","should navigate to my bets page",""
"failed","Mon Nov 03 03:50:35 GMT 2025","Mon Nov 03 03:50:48 GMT 2025","12958","chromium","tests/admin.spec.ts","Admin Panel","","","should navigate to courts management",""
"failed","Mon Nov 03 03:51:14 GMT 2025","Mon Nov 03 03:51:21 GMT 2025","6097","chromium","tests/navigation.spec.ts","Navigation","","","should navigate to home page",""
"failed","Mon Nov 03 03:52:49 GMT 2025","Mon Nov 03 03:53:01 GMT 2025","11393","mobile-safari","tests/admin.spec.ts","Admin Panel","","","should navigate to LAPEN approvals",""
"failed","Mon Nov 03 03:50:36 GMT 2025","Mon Nov 03 03:50:48 GMT 2025","12351","chromium","tests/admin.spec.ts","Admin Panel","","","should navigate to matches management",""
"passed","Mon Nov 03 03:53:37 GMT 2025","Mon Nov 03 03:53:39 GMT 2025","1632","mobile-safari","tests/navigation.spec.ts","Navigation","","","should navigate back from login to home",""
"failed","Mon Nov 03 03:53:14 GMT 2025","Mon Nov 03 03:53:21 GMT 2025","6648","mobile-safari","tests/betting.spec.ts","Betting System","","","should show login prompt for unauthenticated users",""
"failed","Mon Nov 03 03:52:03 GMT 2025","Mon Nov 03 03:52:14 GMT 2025","11428","mobile-chrome","tests/auth.spec.ts","Authentication","","","should logout successfully",""
"failed","Mon Nov 03 03:53:11 GMT 2025","Mon Nov 03 03:53:22 GMT 2025","11586","mobile-safari","tests/auth.spec.ts","Authentication","","","should register LAPEN member with approval pending",""
